,Open,High,Low,Close,Volume,SMA10,SMA50,RSI14,ATR14,Donchian_Width,Target
2020-01-08 19:00:00,1.1113,1.11159,1.11091,1.11134,0.0,1.111316,1.1148996,36.09052316166353,0.0010100493174106707,0.005330000000000057,1
2020-01-08 20:00:00,1.11135,1.11195,1.1111,1.11174,0.0,1.1112920000000002,1.1147436,40.552407175855,0.0009986172233099099,0.005330000000000057,-1
2020-01-08 21:00:00,1.11173,1.1119,1.11145,1.11152,0.0,1.11128,1.1145946,38.942060738031614,0.0009594302787877779,0.005330000000000057,1
2020-01-08 22:00:00,1.11152,1.11179,1.11141,1.11152,0.0,1.111252,1.1144382,38.942060738031614,0.0009180424017315113,0.005169999999999897,1
2020-01-08 23:00:00,1.11153,1.11158,1.11127,1.11154,0.0,1.111275,1.1142864000000001,39.196630610972605,0.0008746108016078343,0.004310000000000036,1
2020-01-09 00:00:00,1.11154,1.11189,1.11151,1.11182,0.0,1.111345,1.1141384,42.79270755731669,0.0008392814586358494,0.003689999999999971,-1
2020-01-09 01:00:00,1.11182,1.1119,1.11111,1.11123,0.0,1.11135,1.1139812,37.72913701122347,0.0008357613544475794,0.002950000000000008,1
2020-01-09 02:00:00,1.11123,1.11204,1.1111,1.11152,0.0,1.111449,1.1138456,41.399580117206554,0.0008432069719870338,0.0029200000000000337,1
2020-01-09 03:00:00,1.11152,1.11177,1.11051,1.11172,0.0,1.111524,1.1137168,43.857360752439455,0.0008729779025593755,0.0029200000000000337,-1
2020-01-09 04:00:00,1.11172,1.1119,1.10984,1.10995,0.0,1.1113899999999999,1.1135677999999998,31.332654804297803,0.0009577651952337182,0.0032400000000001317,1
2020-01-09 05:00:00,1.10994,1.11118,1.10966,1.11096,0.0,1.1113520000000001,1.1134176,41.58417658633201,0.000997924824145593,0.0034199999999999786,-1
2020-01-09 06:00:00,1.11096,1.11126,1.11034,1.11046,0.0,1.111224,1.1132578,38.518405680030355,0.000992358765278037,0.002929999999999877,1
2020-01-09 07:00:00,1.11045,1.11167,1.11033,1.11135,0.0,1.111207,1.1131324,46.13134564149881,0.0010171902820438842,0.002929999999999877,1
2020-01-09 08:00:00,1.11135,1.11173,1.11058,1.11148,0.0,1.1112030000000002,1.1129988,47.16055461335599,0.0010266766904693358,0.0023799999999998267,-1
2020-01-09 09:00:00,1.11149,1.11149,1.11038,1.11082,0.0,1.111131,1.1128656,42.70007702634308,0.0010326283554358238,0.0023799999999998267,-1
2020-01-09 10:00:00,1.11082,1.11107,1.10924,1.11022,0.0,1.1109710000000002,1.1127578,39.081287546267475,0.0010895834729046936,0.0027999999999999137,1
2020-01-09 11:00:00,1.11021,1.11061,1.10935,1.1106,0.0,1.110908,1.1126742,42.410162947950205,0.0011017560819829326,0.0027999999999999137,-1
2020-01-09 12:00:00,1.11059,1.11113,1.11037,1.11046,0.0,1.110802,1.1125999999999998,41.51018754039921,0.0010773449332698568,0.0027999999999999137,1
2020-01-09 13:00:00,1.11046,1.11086,1.11033,1.1105,0.0,1.11068,1.1125362,41.889617026629665,0.0010382488666077184,0.0027999999999999137,1
2020-01-09 14:00:00,1.11051,1.11098,1.11049,1.11061,0.0,1.110746,1.1124635999999999,42.98497864083751,0.000999088233278603,0.0027999999999999137,1
2020-01-09 15:00:00,1.1106,1.11073,1.11038,1.11062,0.0,1.110712,1.1123892,43.090001624253105,0.0009527247880444223,0.0027999999999999137,-1
2020-01-09 16:00:00,1.11062,1.11069,1.11034,1.11051,0.0,1.110717,1.1123104000000001,42.16981871566395,0.00090967301746981,0.0027999999999999137,1
2020-01-09 17:00:00,1.11051,1.11066,1.11028,1.11065,0.0,1.110647,1.1122357999999999,43.81435351631424,0.0008718392305076841,0.0027999999999999137,1
2020-01-09 18:00:00,1.11065,1.11093,1.11063,1.11093,0.0,1.110592,1.1121492,47.057085386519695,0.0008309935711857043,0.0027999999999999137,-1
2020-01-09 19:00:00,1.11092,1.11094,1.1106,1.11069,0.0,1.110579,1.1120676,44.67692186471868,0.0007959226018152974,0.0027999999999999137,-1
2020-01-09 20:00:00,1.11069,1.11073,1.1102,1.11042,0.0,1.110599,1.111968,42.097203904308955,0.0007769281302570561,0.0027999999999999137,1
2020-01-09 21:00:00,1.11041,1.11083,1.11036,1.11079,0.0,1.110618,1.1118666,46.64389786016273,0.00075500469238155,0.0027999999999999137,1
2020-01-09 22:00:00,1.1108,1.11087,1.11071,1.11081,0.0,1.110653,1.1117714,46.886677693564884,0.0007125043572114348,0.0026600000000001067,-1
2020-01-09 23:00:00,1.11081,1.11111,1.11064,1.11074,0.0,1.110677,1.111669,46.0960984461693,0.0006951826174106159,0.0026600000000001067,1
2020-01-10 00:00:00,1.11074,1.111,1.1107,1.11089,0.0,1.110705,1.1115776,48.115002374579745,0.0006669552875955695,0.0024900000000001032,1
2020-01-10 01:00:00,1.1109,1.11101,1.11068,1.11091,0.0,1.1107339999999999,1.1115006,48.39254603163047,0.0006428870527673263,0.0024900000000001032,-1
2020-01-10 02:00:00,1.11092,1.1111,1.11042,1.1107,0.0,1.110753,1.1114162,45.63237160227944,0.0006455379775696611,0.0024900000000001032,-1
2020-01-10 03:00:00,1.11069,1.11092,1.10932,1.10993,0.0,1.110681,1.1113148,37.24411308024422,0.0007137138363146727,0.0024900000000001032,-1
2020-01-10 04:00:00,1.10994,1.11,1.10912,1.10963,0.0,1.110551,1.1112052,34.577228848938105,0.0007255914194350527,0.0023699999999999832,-1
2020-01-10 05:00:00,1.10963,1.10984,1.10902,1.10926,0.0,1.110408,1.1111208000000001,31.574297673308834,0.0007323348894754091,0.0021100000000000563,1
2020-01-10 06:00:00,1.10926,1.10962,1.1085,1.1093,0.0,1.110296,1.1110302,32.25923095218808,0.0007600252545128805,0.00262999999999991,1
2020-01-10 07:00:00,1.10929,1.10994,1.10916,1.10984,0.0,1.110201,1.1109724,40.86504100185097,0.0007614520220476749,0.00262999999999991,-1
2020-01-10 08:00:00,1.10984,1.11136,1.10898,1.10966,0.0,1.1100860000000001,1.1109114,39.082704620188,0.0008770625919014001,0.0028599999999998627,1
2020-01-10 09:00:00,1.10967,1.11034,1.10862,1.11007,0.0,1.110019,1.1108794,44.97021375538358,0.0009372724067655977,0.0028599999999998627,1
2020-01-10 10:00:00,1.11006,1.11179,1.10983,1.11128,0.0,1.110058,1.1108652,57.90154725162214,0.0010103243777109094,0.003290000000000015,1
2020-01-10 11:00:00,1.11128,1.11205,1.11111,1.1118,0.0,1.110147,1.1108521999999998,62.03086966077351,0.0010053012078744116,0.003549999999999942,1
2020-01-10 12:00:00,1.11179,1.11291,1.11179,1.11224,0.0,1.110301,1.1108573999999998,65.14615196477392,0.0010134939787405258,0.004410000000000025,-1
2020-01-10 13:00:00,1.11223,1.11232,1.11183,1.11184,0.0,1.1104919999999998,1.1108614,60.302281712701195,0.0009761015516876225,0.004410000000000025,1
2020-01-10 14:00:00,1.11186,1.11232,1.11171,1.1122,0.0,1.1107489999999998,1.1108694,62.97082907265317,0.0009499514408527923,0.004410000000000025,-1
2020-01-10 15:00:00,1.11221,1.11221,1.11194,1.1121,0.0,1.1110330000000002,1.1108851999999998,61.72950732897419,0.0009013834807918781,0.004410000000000025,-1
2020-01-10 16:00:00,1.1121,1.11225,1.11165,1.11165,0.0,1.111268,1.1108958,56.34667963682172,0.0008798560893067392,0.004410000000000025,1
2020-01-10 17:00:00,1.11165,1.11165,1.11165,1.11165,0.0,1.111449,1.1109052,56.34667963682172,0.0008170092257848294,0.004410000000000025,1
2020-01-13 01:00:00,1.11293,1.11302,1.1125,1.11287,0.0,1.11177,1.1109520000000002,65.74004371105562,0.0008565085668001895,0.0045199999999998575,-1
2020-01-13 02:00:00,1.11287,1.11301,1.1122,1.11227,0.0,1.11199,1.110978,59.01434279571579,0.0008531865263144601,0.0045199999999998575,1
2020-01-13 03:00:00,1.11227,1.11296,1.112,1.1128,0.0,1.112142,1.1110082,62.649424392821516,0.0008608160601491308,0.0045199999999998575,-1
2020-01-13 04:00:00,1.1128,1.11361,1.11147,1.11151,0.0,1.112113,1.1110115999999999,50.832107083383576,0.0009521863415670523,0.005109999999999948,1
2020-01-13 05:00:00,1.11151,1.11195,1.11125,1.11167,0.0,1.112056,1.1110102,52.04045452286995,0.0009341730314551145,0.005109999999999948,1
2020-01-13 06:00:00,1.11167,1.1124,1.11164,1.11204,0.0,1.112076,1.1110206,54.806459873782984,0.0009217321006368987,0.005109999999999948,1
2020-01-13 07:00:00,1.11204,1.11262,1.11184,1.11246,0.0,1.112102,1.1110394,57.78290930577525,0.0009116083791628348,0.005109999999999948,-1
2020-01-13 08:00:00,1.11245,1.11284,1.11182,1.11186,0.0,1.112078,1.1110458,52.466805948224184,0.0009193506377940623,0.005109999999999948,1
2020-01-13 09:00:00,1.11187,1.11267,1.11175,1.1124,0.0,1.112153,1.1110574,56.35835341906417,0.0009193970208087745,0.00499000000000005,1
2020-01-13 10:00:00,1.11239,1.11382,1.1121,1.11331,0.0,1.1123189999999998,1.111099,62.00379448665016,0.000976582947893858,0.0052000000000000934,1
2020-01-13 11:00:00,1.1133,1.11469,1.11325,1.11372,0.0,1.1124040000000002,1.111143,64.24781336771977,0.0010096841659014315,0.00607000000000002,1
2020-01-13 12:00:00,1.11372,1.11418,1.11355,1.11397,0.0,1.112574,1.111188,65.58258024979088,0.0009825638683370371,0.004859999999999864,-1
2020-01-13 13:00:00,1.11397,1.11448,1.11384,1.11396,0.0,1.11269,1.1112682,65.47727788980741,0.0009580950205986755,0.0035799999999999166,-1
2020-01-13 14:00:00,1.11395,1.11414,1.11376,1.11382,0.0,1.112921,1.1113254,63.9296565987451,0.000916802519127329,0.0034399999999998876,-1
2020-01-13 15:00:00,1.11381,1.11386,1.11361,1.11375,0.0,1.113129,1.1113912000000001,63.12624385519466,0.0008691737677610972,0.0034399999999998876,-1
2020-01-13 16:00:00,1.11376,1.11379,1.11331,1.11338,0.0,1.1132630000000001,1.1114318,58.91192015811742,0.00084137564149245,0.0034399999999998876,1
2020-01-13 17:00:00,1.11338,1.1139,1.1132,1.11353,0.0,1.11337,1.1114728,60.07559231105653,0.0008312773813858409,0.0034399999999998876,-1
2020-01-13 18:00:00,1.11355,1.11365,1.11333,1.11344,0.0,1.113528,1.1115252,58.99596701047533,0.0007947575684297165,0.0034399999999998876,1
2020-01-13 19:00:00,1.11344,1.11421,1.11339,1.11383,0.0,1.113671,1.1115974,62.16869672421615,0.0007965605992561525,0.0034399999999998876,-1
2020-01-13 20:00:00,1.11384,1.11409,1.11312,1.11371,0.0,1.113711,1.1116596,60.614575497993165,0.000808949127880707,0.0034399999999998876,1
2020-01-13 21:00:00,1.11372,1.11386,1.11353,1.11372,0.0,1.113711,1.1117248000000002,60.70273697753281,0.0007747384758892397,0.0034399999999998876,-1
2020-01-13 22:00:00,1.11373,1.11387,1.11352,1.11355,0.0,1.113669,1.1117858,58.31304109659125,0.0007444000133257119,0.0034399999999998876,1
2020-01-13 23:00:00,1.11356,1.11381,1.11355,1.11364,0.0,1.1136370000000002,1.1118464000000001,59.22815055714823,0.0007098000123738702,0.0034399999999998876,1
2020-01-14 00:00:00,1.11365,1.11384,1.11359,1.1137,0.0,1.113625,1.1119080000000001,59.860759613291,0.0006769571543471552,0.0034399999999998876,1
2020-01-14 01:00:00,1.11369,1.11444,1.11348,1.11444,0.0,1.1136940000000002,1.1119865999999998,66.71931175388366,0.0006971745004652206,0.003049999999999997,-1
2020-01-14 02:00:00,1.11444,1.11444,1.11373,1.11423,0.0,1.1137789999999999,1.1120582,63.40814826910494,0.0006980906075748469,0.0029399999999999427,-1
2020-01-14 03:00:00,1.11423,1.1144,1.11333,1.11352,0.0,1.1137780000000002,1.11211,53.70396187650481,0.0007246555641766526,0.0029399999999999427,-1
2020-01-14 04:00:00,1.11351,1.11356,1.11303,1.11313,0.0,1.113747,1.1121588,49.245627133754084,0.0007107515953069018,0.0029399999999999427,1
2020-01-14 05:00:00,1.11313,1.11354,1.11284,1.11339,0.0,1.1137029999999999,1.1122182,52.10052468405227,0.0007099836242135462,0.00258999999999987,-1
2020-01-14 06:00:00,1.11338,1.11345,1.11263,1.11303,0.0,1.113635,1.112263,48.06877164076361,0.0007178419367697245,0.0020599999999999508,-1
2020-01-14 07:00:00,1.11303,1.11303,1.11194,1.11207,0.0,1.11347,1.1122882,39.328702637360415,0.0007444246555718896,0.0025399999999999867,-1
2020-01-14 08:00:00,1.11206,1.11208,1.11051,1.11102,0.0,1.1132170000000001,1.1122938,32.391483343804666,0.0008033943230310296,0.003969999999999807,1
2020-01-14 09:00:00,1.11102,1.11234,1.11045,1.11216,0.0,1.1130689999999999,1.1123192,43.951093384470155,0.000881009014243111,0.00399000000000016,1
2020-01-14 10:00:00,1.11216,1.11232,1.11138,1.11221,0.0,1.11292,1.1123452,44.40011321297147,0.0008852226560828846,0.00399000000000016,1
2020-01-14 11:00:00,1.11222,1.11304,1.11202,1.11295,0.0,1.112771,1.1123901999999999,50.6956145878351,0.000894849609219823,0.00399000000000016,1
2020-01-14 12:00:00,1.11295,1.11327,1.11273,1.1131,0.0,1.1126580000000001,1.1124536,51.88488914872464,0.0008695032085612632,0.00399000000000016,1
2020-01-14 13:00:00,1.1131,1.11348,1.11298,1.11314,0.0,1.11262,1.1125238,52.21589331988212,0.0008431101222354548,0.00399000000000016,-1
2020-01-14 14:00:00,1.11313,1.11329,1.11279,1.1128,0.0,1.112587,1.1125946,49.12249394946288,0.00081860225636149,0.00399000000000016,1
2020-01-14 15:00:00,1.11279,1.11302,1.1127,1.11283,0.0,1.1125310000000002,1.1126652,49.4072993134796,0.0007829878094785176,0.00399000000000016,-1
2020-01-14 16:00:00,1.11283,1.11284,1.11246,1.11274,0.0,1.112502,1.1127232,48.529621357054154,0.0007542029659443412,0.00399000000000016,-1
2020-01-14 17:00:00,1.11284,1.11287,1.11259,1.11262,0.0,1.112557,1.1127824,47.32254270999117,0.0007203313255197496,0.00399000000000016,1
2020-01-14 18:00:00,1.11262,1.1128,1.11261,1.11275,0.0,1.11273,1.112836,48.808057777601014,0.000682450516554047,0.00399000000000016,1
2020-01-14 19:00:00,1.11276,1.11307,1.1127,1.11295,0.0,1.112809,1.1128694000000001,51.09309743969418,0.0006601326225144709,0.00399000000000016,1
2020-01-14 20:00:00,1.11294,1.11311,1.11272,1.11296,0.0,1.112884,1.1128926000000001,51.21036405788191,0.0006408374351920167,0.00399000000000016,-1
2020-01-14 21:00:00,1.11295,1.11311,1.1127,1.11291,0.0,1.11288,1.1129060000000002,50.557616105559326,0.000624349046964017,0.00399000000000016,1
2020-01-14 22:00:00,1.11292,1.11311,1.1128,1.11302,0.0,1.1128719999999999,1.1129296000000002,52.006965940472,0.0006018955436094467,0.00395000000000012,1
2020-01-14 23:00:00,1.11303,1.11337,1.11297,1.11331,0.0,1.112889,1.1129518,55.694385723630305,0.000587474433351626,0.003110000000000168,1
2020-01-15 00:00:00,1.1133,1.11346,1.11316,1.11339,0.0,1.112948,1.1129776,56.683116940379364,0.000566940545255079,0.003090000000000037,1
2020-01-15 01:00:00,1.11339,1.11364,1.11322,1.11355,0.0,1.1130200000000001,1.1130156,58.66968251099807,0.0005564447920225637,0.003190000000000026,-1
2020-01-15 02:00:00,1.11355,1.11368,1.11271,1.11284,0.0,1.11303,1.1130394,48.122888927522645,0.0005859844497352317,0.003230000000000066,1
2020-01-15 03:00:00,1.11283,1.11308,1.11185,1.11301,0.0,1.1130689999999999,1.1130422,50.421044058279534,0.0006319855604684341,0.003230000000000066,-1
2020-01-15 04:00:00,1.113,1.11334,1.11257,1.11282,0.0,1.113076,1.1130532,47.868670222182764,0.0006418437347206843,0.003230000000000066,1
2020-01-15 05:00:00,1.11282,1.11393,1.11249,1.11387,0.0,1.113168,1.1130746,59.93804920520551,0.0006988548965263573,0.0025500000000000522,1
2020-01-15 06:00:00,1.11387,1.11549,1.1138,1.1148,0.0,1.1133520000000001,1.1131404,67.18474782852434,0.000769650975345917,0.0036400000000000876,-1
2020-01-15 07:00:00,1.11478,1.11525,1.11396,1.1141,0.0,1.113471,1.113189,58.593481446256355,0.0008068187628212096,0.0036400000000000876,1
2020-01-15 08:00:00,1.11416,1.11494,1.114,1.1149,0.0,1.113659,1.1132461999999999,64.2240729458336,0.0008163317083339761,0.0036400000000000876,1
2020-01-15 09:00:00,1.11489,1.11634,1.11486,1.11522,0.0,1.11385,1.1133014,66.20376784059957,0.0008637365863101312,0.004490000000000105,-1
2020-01-15 10:00:00,1.11523,1.11548,1.11431,1.11521,0.0,1.114032,1.1133684,66.08070788374175,0.0008856125444308444,0.004490000000000105,1
2020-01-15 11:00:00,1.11522,1.11599,1.11496,1.11595,0.0,1.1142720000000002,1.1134394,70.45698899137318,0.0008959259341143617,0.004490000000000105,-1
2020-01-15 12:00:00,1.11596,1.11614,1.11562,1.11576,0.0,1.114564,1.1134884,68.03001262686502,0.0008690740816776111,0.004490000000000105,-1
2020-01-15 13:00:00,1.11575,1.11596,1.11497,1.11516,0.0,1.114779,1.1135172,60.896313291556396,0.0008777116472720708,0.004490000000000105,-1
2020-01-15 14:00:00,1.11515,1.1154,1.11494,1.11504,0.0,1.1150010000000001,1.1135386,59.55131938584324,0.0008478751010383447,0.004490000000000105,1
