dataset,accuracy,precision,recall,f1,n_signals,n_neutral,flops,latency_us
EURUSD 15min,0.529064039408867,0.5290475574507002,0.529064039408867,0.5290475818120832,2030,15072,45,1.702551600010338
EURUSD 1H,0.512987012987013,0.5134996582365003,0.512987012987013,0.513048621208014,462,3912,45,1.6927906000091753
GBPUSD 15min,0.5360876057740169,0.5360287139472278,0.5360876057740169,0.5356986970698163,2009,15084,45,1.683318599998529
GBPUSD 1H,0.5300207039337475,0.5310518410262656,0.5300207039337475,0.529714403781525,483,3889,45,1.6812705999655009
