dataset,accuracy,precision,recall,f1,n_signals,n_neutral,flops,latency_us
EURUSD 15min,0.5210312075983717,0.5218442924879996,0.5210312075983717,0.520973007546272,1474,15628,68,0.09504700001343735
EURUSD 1H,0.5230460921843687,0.5230092516706238,0.5230460921843687,0.5230192703283104,499,3875,68,0.0963099999808037
GBPUSD 15min,0.5131909547738693,0.5135200581856902,0.5131909547738693,0.5132483892495412,1592,15501,68,0.10303489998477744
GBPUSD 1H,0.5241379310344828,0.5243831957549833,0.5241379310344828,0.5240360709395692,580,3792,68,0.09546400001454458
