dataset,accuracy,precision,recall,f1,n_signals,flops,latency_ms
EURUSD_15min,0.5137307827719751,0.5137307827719751,1.0,0.6787610962515022,17042,38656,76.99394047770001
EURUSD_1h,0.5039406583217432,0.5039406583217432,1.0,0.6701602959309494,4314,38656,78.56253039189998
GBPUSD_15min,0.5076615980743263,0.5076615980743263,1.0,0.6734423676012461,17033,38656,78.86445791870001
GBPUSD_1h,0.5074211502782932,0.5074211502782932,1.0,0.6732307692307692,4312,38656,78.74880176179998
