dataset,accuracy,precision,recall,f1,n_signals,flops,latency_us
EURUSD 15min,0.5094725763068647,0.5099777688059046,0.5094725763068647,0.5095631264447591,17102,123,0.011808999988716096
EURUSD 1H,0.5089163237311386,0.508952042035374,0.5089163237311386,0.5089255645300951,4374,123,0.01264799998352828
GBPUSD 15min,0.505762592874276,0.5062694380500224,0.505762592874276,0.5054992889796344,17093,123,0.011832000018330291
GBPUSD 1H,0.5038883806038427,0.5044084562407449,0.5038883806038427,0.5035140715812587,4372,123,0.011782999990828102
