dataset,accuracy,precision,recall,f1,n_signals,flops,latency_ms
EURUSD_15min,0.519246567304307,0.5202100115074798,0.8261564820102798,0.6384218191447107,17042,28992,76.24594549780004
EURUSD_1h,0.5039406583217432,0.5039406583217432,1.0,0.6701602959309494,4314,28992,77.07924641410001
GBPUSD_15min,0.508953208477661,0.5084211152770338,0.9879727072973286,0.6713555992141453,17033,28992,78.68673263189994
GBPUSD_1h,0.5088126159554731,0.5081281932187646,1.0,0.6738527871881737,4312,28992,79.02748074369993
