dataset,ma_acc,rsi_acc,vb_acc,lstm_acc,gru_acc,lstm_f1,gru_f1
EURUSD_15min,0.5094725763068647,0.5210312075983717,0.529064039408867,0.5137307827719751,0.519246567304307,0.6787610962515022,0.6384218191447107
EURUSD_1h,0.5089163237311386,0.5230460921843687,0.512987012987013,0.5039406583217432,0.5039406583217432,0.6701602959309494,0.6701602959309494
GBPUSD_15min,0.505762592874276,0.5131909547738693,0.5360876057740169,0.5076615980743263,0.508953208477661,0.6734423676012461,0.6713555992141453
GBPUSD_1h,0.5038883806038427,0.5241379310344828,0.5300207039337475,0.5074211502782932,0.5088126159554731,0.6732307692307692,0.6738527871881737
