,Open,High,Low,Close,Volume,SMA10,SMA50,RSI14,ATR14,Donchian_Width,Target
2020-01-06 01:00:00,1.308,1.3083,1.30684,1.30824,0.0,1.3079329999999998,1.3144532,41.891198018606794,0.0018603604096854324,0.008410000000000029,-1
2020-01-06 02:00:00,1.30822,1.30942,1.30698,1.3073,0.0,1.3079709999999998,1.3141058,38.707442350884506,0.0019017632375650441,0.00757999999999992,1
2020-01-06 03:00:00,1.30729,1.31084,1.30638,1.31053,0.0,1.3083110000000002,1.313817,52.161513830113115,0.0020844944348818203,0.007050000000000001,1
2020-01-06 04:00:00,1.31055,1.31482,1.31029,1.31429,0.0,1.3088460000000002,1.3135898,62.484898647888535,0.0022591734038188436,0.00951000000000013,1
2020-01-06 05:00:00,1.31432,1.3173,1.31374,1.3152,0.0,1.309487,1.3133828000000003,64.48257178893957,0.0023520895892603553,0.011989999999999945,1
2020-01-06 06:00:00,1.31526,1.31743,1.31506,1.31564,0.0,1.31021,1.3131994,65.44081932597416,0.002353368904313202,0.01212000000000013,-1
2020-01-06 07:00:00,1.31566,1.31566,1.31382,1.31382,0.0,1.310808,1.3130572,58.41980732310809,0.002316699696862264,0.01212000000000013,1
2020-01-06 08:00:00,1.31388,1.31485,1.31343,1.31403,0.0,1.311479,1.3129236,58.96684655267203,0.0022526497185149574,0.01212000000000013,-1
2020-01-06 09:00:00,1.31403,1.31609,1.3133,1.31363,0.0,1.312055,1.3127701999999999,57.417315660112024,0.0022910318814781797,0.01204000000000005,1
2020-01-06 10:00:00,1.31362,1.31622,1.31333,1.31584,0.0,1.312852,1.3126438000000002,63.175048220449064,0.002333815318515441,0.011050000000000004,1
2020-01-06 11:00:00,1.31584,1.31697,1.31517,1.31622,0.0,1.31365,1.3125296,64.07453918915384,0.0022956856529071966,0.011050000000000004,-1
2020-01-06 12:00:00,1.3162,1.31745,1.3156,1.31589,0.0,1.314509,1.3124036000000001,62.64351889595276,0.002263850963413819,0.011069999999999913,-1
2020-01-06 13:00:00,1.31588,1.31676,1.31574,1.31574,0.0,1.3150300000000001,1.3122904,61.96607043591753,0.0021750044660271196,0.011069999999999913,1
2020-01-06 14:00:00,1.31574,1.31638,1.31553,1.31627,0.0,1.3152279999999998,1.3121935999999998,63.469306961709,0.0020803612898823267,0.011069999999999913,1
2020-01-06 15:00:00,1.31626,1.31672,1.31587,1.31661,0.0,1.315369,1.3121266,64.44026915027192,0.001992478340605003,0.011069999999999913,1
2020-01-06 16:00:00,1.31659,1.31685,1.31637,1.31685,0.0,1.31549,1.3120698000000002,65.14452811053778,0.0018844441734189343,0.011069999999999913,1
2020-01-06 17:00:00,1.31685,1.31785,1.31643,1.31749,0.0,1.315857,1.3120668,67.02027551795311,0.0018512695896032946,0.01146999999999987,-1
2020-01-06 18:00:00,1.31749,1.31752,1.31679,1.31711,0.0,1.316165,1.3121146,64.79078844272979,0.0017711789046316391,0.01146999999999987,1
2020-01-06 19:00:00,1.31708,1.31767,1.31692,1.31724,0.0,1.316526,1.3120816,65.21708241994133,0.001698237554300794,0.01146999999999987,-1
2020-01-06 20:00:00,1.31727,1.31773,1.31697,1.31713,0.0,1.3166550000000001,1.3121702000000002,64.5054052712546,0.0016312205861364582,0.01146999999999987,-1
2020-01-06 21:00:00,1.31714,1.31721,1.31681,1.31693,0.0,1.316726,1.312241,63.15595174276516,0.0015432762585552795,0.01146999999999987,1
2020-01-06 22:00:00,1.31693,1.31755,1.31685,1.31735,0.0,1.3168719999999998,1.3123092000000003,64.82035023855315,0.0014830422400870398,0.01146999999999987,-1
2020-01-06 23:00:00,1.31735,1.31751,1.31691,1.31706,0.0,1.3170039999999998,1.3123926,62.7137312072478,0.0014199677943665322,0.007560000000000011,-1
2020-01-07 00:00:00,1.31704,1.31723,1.31531,1.31538,0.0,1.316915,1.3124231999999998,52.14175368805244,0.001455684380483203,0.004550000000000054,1
2020-01-07 01:00:00,1.31539,1.31624,1.31476,1.31551,0.0,1.316805,1.3124636,52.804749281945455,0.001457421210448699,0.004550000000000054,-1
2020-01-07 02:00:00,1.31552,1.31615,1.31408,1.31435,0.0,1.316555,1.3124874,46.601073366319994,0.0015011768382737932,0.004550000000000054,1
2020-01-07 03:00:00,1.31437,1.3212,1.31426,1.31879,0.0,1.3166849999999999,1.3125698,64.02339316634239,0.0018896642069685184,0.007900000000000018,-1
2020-01-07 04:00:00,1.31877,1.3197,1.31672,1.31728,0.0,1.3167019999999998,1.3126054000000003,57.18949678420707,0.0019675453350422104,0.007900000000000018,-1
2020-01-07 05:00:00,1.31727,1.31734,1.31452,1.31602,0.0,1.3165799999999999,1.3126514,52.18401932904074,0.00202843495396777,0.007869999999999822,-1
2020-01-07 06:00:00,1.31602,1.31643,1.3145,1.31467,0.0,1.316334,1.3126901999999998,47.39737227085264,0.0020214038858272143,0.007120000000000015,-1
2020-01-07 07:00:00,1.31472,1.31478,1.31097,1.31205,0.0,1.315846,1.3126593999999998,39.77255298533584,0.002149160751125277,0.010229999999999961,-1
2020-01-07 08:00:00,1.31203,1.31233,1.3102,1.31179,0.0,1.31529,1.3126437999999998,39.100331377588454,0.002147792126044898,0.010999999999999899,-1
2020-01-07 09:00:00,1.31179,1.31357,1.31049,1.31055,0.0,1.3146390000000001,1.3126133999999998,35.977205779648045,0.0022143784027559748,0.010999999999999899,1
2020-01-07 10:00:00,1.31055,1.31244,1.30948,1.31211,0.0,1.314312,1.3126092,42.2290236266586,0.0022676370882734106,0.011719999999999953,1
2020-01-07 11:00:00,1.31211,1.31324,1.3106,1.31257,0.0,1.314018,1.3126786,43.96657159739165,0.0022942344391110223,0.011719999999999953,1
